amka,role,office
20000000000,SECRETARY,297
20000000001,ACCOUNTANT,409
20000000002,ACCOUNTANT,146
20000000003,SECRETARY,116
20000000004,ACCOUNTANT,417
20000000005,DIRECTOR,278
20000000006,ACCOUNTANT,206
20000000007,SECRETARY,223
20000000008,ACCOUNTANT,257
20000000009,SECRETARY,200
20000000010,SECRETARY,101
20000000011,SECRETARY,324
20000000012,SECRETARY,120
20000000013,ACCOUNTANT,334
20000000014,DIRECTOR,160
20000000015,ACCOUNTANT,499
20000000016,DIRECTOR,288
20000000017,ACCOUNTANT,466
20000000018,ACCOUNTANT,355
20000000019,ACCOUNTANT,487
20000000020,SECRETARY,415
20000000021,ACCOUNTANT,221
20000000022,DIRECTOR,233
20000000023,SECRETARY,193
20000000024,SECRETARY,269
20000000025,SECRETARY,184
20000000026,DIRECTOR,271
20000000027,ACCOUNTANT,216
20000000028,ACCOUNTANT,193
20000000029,DIRECTOR,353
