amka,licence_number,specialty,rank,supervisor_id
33860842912,69072158,PATHOLOGIST,DIRECTOR,\N
98451520706,29613485,EMERGENCY_MEDICINE_PHYSICIAN,JUNIOR_ATTENDING,75339133780
35134846364,67433841,INTERNAL_MEDICINE_PHYSICIAN,SENIOR_ATTENDING,21389790404
92698522280,94094534,PEDIATRICIAN,DIRECTOR,\N
90134508778,29927496,INTERNAL_MEDICINE_PHYSICIAN,SENIOR_ATTENDING,21389790404
53262763012,31960762,CARDIOLOGIST,RESIDENT,95448079151
80036372124,17682300,PATHOLOGIST,SENIOR_ATTENDING,33860842912
53727815147,58368210,PATHOLOGIST,RESIDENT,53434182353
30689575097,65875468,GENERAL_SURGEON,JUNIOR_ATTENDING,32379434579
84320135602,44866394,EMERGENCY_MEDICINE_PHYSICIAN,SENIOR_ATTENDING,56784597458
90656248238,54120817,EMERGENCY_MEDICINE_PHYSICIAN,SENIOR_ATTENDING,36702445480
62066779638,85381488,GENERAL_SURGEON,SENIOR_ATTENDING,81344410739
77117947422,77164468,CARDIOLOGIST,SENIOR_ATTENDING,19276620746
73253025603,59830330,GENERAL_SURGEON,RESIDENT,89981892222
33575450249,69067140,PATHOLOGIST,JUNIOR_ATTENDING,80036372124
74895326292,77543658,INTERNAL_MEDICINE_PHYSICIAN,SENIOR_ATTENDING,21389790404
40850595762,59125742,GENERAL_SURGEON,JUNIOR_ATTENDING,62066779638
40889689402,28641581,PEDIATRICIAN,DIRECTOR,\N
53434182353,29330711,PATHOLOGIST,JUNIOR_ATTENDING,18193427864
94374664371,66019121,PATHOLOGIST,RESIDENT,53434182353
27946441835,65851450,PEDIATRICIAN,RESIDENT,60552999461
22561283452,57842739,PATHOLOGIST,JUNIOR_ATTENDING,18193427864
74997800957,78241950,CARDIOLOGIST,RESIDENT,35895166626
67697807470,51058444,PATHOLOGIST,JUNIOR_ATTENDING,18193427864
91367023329,88500673,CARDIOLOGIST,SENIOR_ATTENDING,60344799227
47960718664,76906559,CARDIOLOGIST,SENIOR_ATTENDING,19276620746
67758463500,77112608,CARDIOLOGIST,RESIDENT,95448079151
21389790404,86544662,INTERNAL_MEDICINE_PHYSICIAN,DIRECTOR,\N
98870684482,41376592,CARDIOLOGIST,DIRECTOR,\N
78832401220,35790206,GENERAL_SURGEON,JUNIOR_ATTENDING,62066779638
75339133780,83898001,EMERGENCY_MEDICINE_PHYSICIAN,SENIOR_ATTENDING,36702445480
57199282441,59733903,PEDIATRICIAN,RESIDENT,60552999461
36702445480,48912927,EMERGENCY_MEDICINE_PHYSICIAN,DIRECTOR,\N
45979296668,54472638,PATHOLOGIST,JUNIOR_ATTENDING,96575194408
60170274590,68964032,EMERGENCY_MEDICINE_PHYSICIAN,JUNIOR_ATTENDING,90656248238
44869451267,30025104,PATHOLOGIST,JUNIOR_ATTENDING,18193427864
31976884284,36228965,PATHOLOGIST,DIRECTOR,\N
55878996856,14023662,PEDIATRICIAN,RESIDENT,60552999461
22585413484,49504843,CARDIOLOGIST,JUNIOR_ATTENDING,91367023329
81344410739,43658033,GENERAL_SURGEON,DIRECTOR,\N
41069533517,36645035,INTERNAL_MEDICINE_PHYSICIAN,RESIDENT,52288372388
60552999461,60826266,PEDIATRICIAN,JUNIOR_ATTENDING,60334753081
48486875122,51620874,INTERNAL_MEDICINE_PHYSICIAN,SENIOR_ATTENDING,21389790404
18193427864,44132060,PATHOLOGIST,SENIOR_ATTENDING,33860842912
32379434579,27656933,GENERAL_SURGEON,SENIOR_ATTENDING,13706183648
18716063973,10976387,PEDIATRICIAN,RESIDENT,60552999461
52288372388,49939655,INTERNAL_MEDICINE_PHYSICIAN,JUNIOR_ATTENDING,31551628292
39243562439,99280975,GENERAL_SURGEON,JUNIOR_ATTENDING,30639295654
20140926142,93647222,EMERGENCY_MEDICINE_PHYSICIAN,RESIDENT,98451520706
51734845697,97876824,EMERGENCY_MEDICINE_PHYSICIAN,RESIDENT,37233268274
96575194408,86591810,PATHOLOGIST,SENIOR_ATTENDING,31976884284
30871168286,93754849,INTERNAL_MEDICINE_PHYSICIAN,RESIDENT,52288372388
62743168874,30691424,PATHOLOGIST,RESIDENT,67697807470
38538288127,92011193,INTERNAL_MEDICINE_PHYSICIAN,JUNIOR_ATTENDING,35134846364
46055220563,75769597,PATHOLOGIST,RESIDENT,45979296668
50922589695,78355141,INTERNAL_MEDICINE_PHYSICIAN,RESIDENT,38538288127
99795619901,46893529,GENERAL_SURGEON,JUNIOR_ATTENDING,30639295654
65063112418,44805776,CARDIOLOGIST,JUNIOR_ATTENDING,47960718664
30639295654,87428756,GENERAL_SURGEON,SENIOR_ATTENDING,81344410739
13706183648,33283677,GENERAL_SURGEON,DIRECTOR,\N
51927673524,28317368,PATHOLOGIST,JUNIOR_ATTENDING,80036372124
60344799227,45622066,CARDIOLOGIST,DIRECTOR,\N
60334753081,96225414,PEDIATRICIAN,SENIOR_ATTENDING,92698522280
97287210691,66190562,EMERGENCY_MEDICINE_PHYSICIAN,DIRECTOR,\N
85282038277,54096651,PATHOLOGIST,SENIOR_ATTENDING,83923788555
31551628292,54404089,INTERNAL_MEDICINE_PHYSICIAN,SENIOR_ATTENDING,21389790404
37233268274,25358862,EMERGENCY_MEDICINE_PHYSICIAN,JUNIOR_ATTENDING,90656248238
94613426776,53810157,PEDIATRICIAN,DIRECTOR,\N
56784597458,26752710,EMERGENCY_MEDICINE_PHYSICIAN,DIRECTOR,\N
98901183989,93807409,GENERAL_SURGEON,JUNIOR_ATTENDING,62066779638
19276620746,55514876,CARDIOLOGIST,DIRECTOR,\N
56650467990,23840707,PATHOLOGIST,RESIDENT,51927673524
62496380045,32759907,PATHOLOGIST,RESIDENT,53434182353
95448079151,75318580,CARDIOLOGIST,JUNIOR_ATTENDING,77117947422
83923788555,47391761,PATHOLOGIST,DIRECTOR,\N
89981892222,60492061,GENERAL_SURGEON,JUNIOR_ATTENDING,20287442157
15517900330,51711778,GENERAL_SURGEON,JUNIOR_ATTENDING,30639295654
35895166626,44049142,CARDIOLOGIST,JUNIOR_ATTENDING,91367023329
82857924186,28335579,EMERGENCY_MEDICINE_PHYSICIAN,RESIDENT,37233268274
20287442157,38202873,GENERAL_SURGEON,SENIOR_ATTENDING,13706183648
