hosp_id,patient_amka,medical_care,nursing_care,cleanliness,food,overall_experience
1,79193941824,2,3,2,5,3
2,60675545554,1,3,5,2,2
3,15778787753,5,3,1,5,1
4,60710128556,5,1,1,3,1
5,56140410465,1,4,1,1,3
6,13361231045,2,2,4,4,1
7,24472724997,2,2,4,4,5
8,79193941824,3,2,2,2,2
9,94763453856,1,1,2,2,4
10,37712184811,4,1,3,1,5
11,87956752664,4,3,3,4,4
12,20821766978,3,2,2,5,2
13,16784882349,5,2,4,3,5
14,12492568041,3,5,4,2,3
15,76677046089,3,2,1,1,2
16,46056241622,2,1,2,1,3
17,29869861533,2,3,2,3,4
18,60892712796,5,2,1,1,3
19,69470469937,3,4,1,2,3
20,69470469937,1,4,1,2,4
21,46104273577,1,2,1,4,3
22,42410127541,1,4,3,1,4
23,79193941824,5,4,3,3,4
24,81706746451,3,3,2,1,5
25,37997771362,2,2,1,5,2
26,52575000527,5,2,3,3,2
27,77560259223,3,4,4,1,4
28,54288371049,2,4,3,1,2
29,11774503770,1,3,3,5,4
30,29572535212,4,1,3,2,2
31,88554513243,2,1,1,2,4
32,16784882349,5,2,5,5,2
33,67087810691,5,3,5,3,2
34,82069926186,5,1,4,2,1
35,46812026582,5,3,1,5,3
36,94574013001,5,3,1,5,5
37,51010386800,2,4,2,3,4
38,94804778024,3,5,1,5,4
39,73355304328,2,2,3,4,1
40,92131335755,1,5,4,3,1
41,30276014150,5,3,5,4,1
42,74229039891,2,3,4,4,3
43,52610866930,3,1,4,4,2
44,79838249029,5,4,4,4,1
45,79695643575,5,1,4,3,1
46,29770533417,5,1,2,3,4
47,37624612283,3,2,1,1,3
48,93826706493,4,5,1,5,1
49,67243789496,5,2,2,1,2
50,17326715196,1,2,3,1,3
51,15914109671,3,4,3,2,2
52,80313238304,3,3,4,3,2
53,51746273679,3,4,2,4,2
54,12633175052,2,3,3,5,1
55,24964725321,5,4,2,3,1
56,29450522876,2,3,4,1,1
57,79695643575,3,3,1,2,2
58,13578442492,5,5,3,1,3
59,13912513577,1,5,3,5,4
60,16963648622,3,5,1,1,5
61,79193941824,1,2,1,5,3
62,94574013001,4,4,5,3,5
63,93826706493,2,5,1,1,4
64,84047176955,4,2,3,1,3
65,42145824142,5,5,3,2,4
66,57869321901,4,2,1,2,3
67,36356584813,1,4,4,5,2
68,64914681191,3,1,5,3,1
69,60675545554,5,1,4,4,4
70,26646644484,4,5,1,1,4
71,96763184814,4,3,1,1,3
72,96383287869,3,3,1,2,3
73,73342830116,1,5,1,2,4
74,45302599227,1,1,2,4,5
75,29869861533,1,4,2,3,2
76,15778787753,4,3,3,3,5
77,13578442492,2,5,5,2,3
78,33169238506,5,4,3,1,4
79,83923601134,3,2,3,3,1
80,64914681191,4,4,2,2,3
81,88777792801,5,1,1,1,3
82,28604483021,2,1,3,3,2
83,32602560891,1,5,5,3,2
84,86564797930,3,1,1,2,2
85,12492568041,3,1,5,4,5
86,99832744737,3,4,2,1,5
87,13361231045,3,5,5,2,2
88,39912331805,3,4,4,2,5
89,58338345625,4,2,1,1,2
90,73757238292,2,3,4,1,2
91,47997346659,4,4,2,2,4
92,74239645514,1,4,5,5,4
93,16716715515,5,3,3,3,5
94,24964725321,4,2,3,2,3
95,33044110184,2,1,3,2,5
96,29572535212,5,4,5,4,1
97,20821766978,3,4,3,3,4
98,70772805029,2,3,3,4,3
99,61249169584,3,4,5,5,3
100,96383287869,4,2,1,3,3
101,17326715196,1,5,1,3,1
102,58145615428,4,1,3,4,5
103,94574013001,5,1,5,3,2
104,64401533943,4,2,2,5,4
105,99138936275,5,5,2,1,1
106,80029940384,5,2,1,5,4
107,98081585082,1,2,5,1,4
108,18352921227,1,1,1,2,5
109,58145615428,1,4,3,1,1
110,29572535212,1,2,3,1,2
111,67243789496,1,1,4,4,3
112,74239645514,5,5,3,5,1
113,15914109671,2,1,3,1,2
114,15177314527,5,2,4,5,1
115,13912513577,1,3,5,3,1
116,76273240493,1,4,2,4,2
117,86118625589,2,5,5,3,2
118,16963648622,4,4,4,4,2
119,13444119814,5,1,1,4,2
120,21354669087,5,5,1,3,4
121,21354669087,5,1,4,1,4
122,23752690099,3,2,1,3,1
123,73050978275,4,2,3,3,3
124,77458145750,2,5,5,1,5
125,90877920694,4,4,5,2,2
126,42145824142,3,4,3,1,2
127,23206152564,3,1,4,5,5
128,12492568041,5,3,4,4,1
129,80207593880,3,3,3,4,1
130,90907450300,2,3,2,4,2
131,52334260261,3,1,5,5,3
132,33211322359,2,4,5,2,5
133,39430819071,2,2,1,5,3
134,60892712796,1,3,2,3,4
135,15679628443,2,4,5,4,5
136,69237465396,2,5,1,4,1
137,46762883228,2,3,5,2,4
138,29770533417,3,4,3,1,3
139,33380044151,3,5,1,2,1
140,97562086883,1,4,2,5,4
141,75406843147,4,5,2,3,2
142,86118625589,5,5,4,5,3
143,45302599227,1,4,3,1,1
144,67243789496,3,1,4,4,5
145,60142664132,2,2,1,2,2
146,79838249029,2,4,3,5,1
147,79838249029,2,5,2,2,3
148,16784882349,3,1,4,4,3
149,54686989143,5,3,2,4,3
150,36584847761,4,5,2,4,4
151,70772805029,2,4,5,3,1
152,60197902331,3,3,1,1,1
153,80207593880,5,2,4,2,1
154,54288371049,2,3,5,1,1
155,93964239543,2,3,5,5,2
156,82646811210,4,4,5,2,1
157,96763184814,5,1,4,4,2
158,93904760474,1,4,1,1,4
159,77458145750,5,4,1,1,2
160,51010386800,5,3,2,2,3
161,84686489688,3,1,3,4,5
162,94455644293,3,4,1,1,3
163,33169238506,2,4,2,3,4
164,82069926186,4,3,5,1,2
165,29572535212,1,5,3,4,3
166,40009025265,4,2,5,3,3
167,54288371049,3,2,5,4,1
168,74749378297,5,1,3,5,4
169,23585968077,5,5,3,1,3
170,60710128556,4,4,5,5,3
171,54686989143,3,1,2,2,1
172,46056241622,5,4,5,2,4
173,88777792801,3,5,1,1,5
174,90907450300,3,3,2,5,2
175,46499927205,2,3,5,3,1
176,41260611685,5,5,2,3,1
177,98081585082,1,5,2,2,4
178,54686989143,5,1,3,5,2
179,51010386800,4,5,2,3,1
180,47007408557,1,5,4,2,2
181,97114574026,3,1,4,2,3
182,88968226918,2,5,5,1,3
183,90907450300,3,4,4,2,5
184,36472981413,1,2,5,4,1
185,15778787753,2,4,5,4,5
186,33044110184,3,3,3,5,1
187,33211322359,5,5,4,3,1
188,97562086883,1,3,2,3,3
189,33044110184,1,3,3,4,3
190,84686489688,5,1,4,2,3
191,99832744737,4,1,1,4,2
192,33169238506,5,1,4,3,1
193,36024341293,1,2,5,5,3
194,33380044151,3,5,4,4,5
195,15914109671,4,2,5,4,1
196,80997555070,1,1,5,2,2
197,56837290051,3,4,2,1,5
198,23752690099,5,2,2,1,1
199,26646644484,5,3,5,5,3
200,81960982018,5,1,2,2,2
201,80997555070,3,4,4,2,5
202,70521038594,3,2,4,1,4
203,51746273679,2,4,4,3,2
204,69918743476,5,2,1,1,3
205,12633175052,4,2,1,5,1
206,29450522876,2,5,5,5,4
207,46812026582,4,3,1,1,5
208,97540413322,1,5,4,4,2
209,94574013001,1,5,3,5,4
210,93826706493,1,4,4,2,5
211,52334260261,4,5,1,5,4
212,24472724997,2,3,2,3,3
213,93826706493,1,3,3,3,1
214,60675545554,5,3,2,2,2
215,94574013001,4,3,5,5,5
216,93826706493,3,4,4,5,4
217,29869861533,2,5,3,5,2
218,60675545554,2,4,1,2,3
219,38935118118,3,2,3,5,5
220,67243789496,1,1,5,3,5
221,82152244235,5,3,4,2,4
222,60197902331,3,4,4,1,3
223,17326715196,5,5,1,4,4
224,57714356848,4,4,3,3,4
225,69237465396,2,3,5,1,1
226,82222304170,1,5,2,3,5
227,52575000527,3,1,1,1,2
228,37624612283,4,1,5,4,3
229,57869321901,2,4,3,4,4
230,18074378002,2,1,3,1,4
231,56140410465,5,1,4,4,4
232,79193941824,1,2,3,4,4
233,94763453856,3,2,5,1,1
234,94763453856,4,2,1,5,1
