Act_ID,Hospitalization_ID,Code,Name,Category,Duration_Minutes,Cost,Room_ID,Main_Surgeon_AMKA,Assistant_1_ID,Assistant_2_ID,Date
1,356,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_09,20287442157,89981892222,10000000058,2025-05-16
2,453,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_02,62066779638,10000000051,77117947422,2025-04-11
3,335,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_08,90656248238,10000000035,27946441835,2026-02-06
4,292,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_03,85282038277,75339133780,30871168286,2026-01-11
5,62,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_03,22585413484,46055220563,94613426776,2025-06-24
6,308,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_01,99795619901,10000000038,57199282441,2025-02-10
7,408,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_10,19276620746,10000000017,10000000055,2025-03-14
8,48,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_07,74895326292,60170274590,10000000025,2025-07-09
9,40,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_07,30689575097,10000000005,10000000015,2025-01-04
10,397,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_08,60344799227,10000000019,33860842912,2025-10-18
11,118,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_05,20287442157,10000000054,10000000027,2025-03-10
12,396,P08,Κολονοσκόπηση,Διαγνωστική,40,350,OR_08,85282038277,55878996856,10000000064,2025-02-24
13,405,P07,Χημειοθεραπεία,Θεραπευτική,180,600,OR_02,97287210691,74895326292,48486875122,2025-09-21
14,456,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_05,30689575097,22561283452,53262763012,2026-02-10
15,137,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_05,46055220563,97287210691,98870684482,2025-03-04
16,252,P01,Σκωληκοειδεκτομή,Χειρουργική,90,1200,OR_03,55878996856,10000000064,10000000032,2025-05-04
17,448,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_09,85282038277,10000000055,10000000011,2025-12-31
18,466,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_06,19276620746,67697807470,45979296668,2025-08-19
19,364,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_03,40889689402,39243562439,10000000016,2026-01-14
20,157,P05,Αρθροπλαστική,Χειρουργική,150,4000,OR_04,20140926142,10000000035,10000000076,2025-11-14
21,287,P03,Αγγειοπλαστική,Χειρουργική,120,2500,OR_02,19276620746,56784597458,10000000066,2025-08-24
22,471,P04,Γαστροσκόπηση,Διαγνωστική,30,300,OR_04,98451520706,91367023329,10000000062,2025-11-05
23,77,P02,Καθετηριασμός,Διαγνωστική,45,800,OR_08,74895326292,10000000016,10000000033,2025-07-03
