amka,rank
10000000000,ASS_NURSE
10000000001,NURSE
10000000002,ASS_NURSE
10000000003,ASS_NURSE
10000000004,ADMIN_NURSE
10000000005,ASS_NURSE
10000000006,ASS_NURSE
10000000007,ADMIN_NURSE
10000000008,ASS_NURSE
10000000009,ADMIN_NURSE
10000000010,ADMIN_NURSE
10000000011,ADMIN_NURSE
10000000012,ASS_NURSE
10000000013,NURSE
10000000014,NURSE
10000000015,ADMIN_NURSE
10000000016,ASS_NURSE
10000000017,ADMIN_NURSE
10000000018,ASS_NURSE
10000000019,NURSE
10000000020,ASS_NURSE
10000000021,NURSE
10000000022,NURSE
10000000023,ASS_NURSE
10000000024,NURSE
10000000025,NURSE
10000000026,NURSE
10000000027,ASS_NURSE
10000000028,NURSE
10000000029,ASS_NURSE
10000000030,ADMIN_NURSE
10000000031,ASS_NURSE
10000000032,ADMIN_NURSE
10000000033,ADMIN_NURSE
10000000034,ADMIN_NURSE
10000000035,ASS_NURSE
10000000036,NURSE
10000000037,ADMIN_NURSE
10000000038,ADMIN_NURSE
10000000039,ASS_NURSE
10000000040,ADMIN_NURSE
10000000041,ASS_NURSE
10000000042,NURSE
10000000043,ASS_NURSE
10000000044,NURSE
10000000045,ASS_NURSE
10000000046,ASS_NURSE
10000000047,ASS_NURSE
10000000048,ASS_NURSE
10000000049,ASS_NURSE
10000000050,ASS_NURSE
10000000051,ASS_NURSE
10000000052,NURSE
10000000053,ADMIN_NURSE
10000000054,ASS_NURSE
10000000055,NURSE
10000000056,NURSE
10000000057,ADMIN_NURSE
10000000058,ADMIN_NURSE
10000000059,ADMIN_NURSE
10000000060,ASS_NURSE
10000000061,ASS_NURSE
10000000062,ASS_NURSE
10000000063,NURSE
10000000064,ASS_NURSE
10000000065,NURSE
10000000066,NURSE
10000000067,ADMIN_NURSE
10000000068,NURSE
10000000069,ASS_NURSE
10000000070,NURSE
10000000071,ASS_NURSE
10000000072,NURSE
10000000073,ASS_NURSE
10000000074,ADMIN_NURSE
10000000075,ADMIN_NURSE
10000000076,NURSE
10000000077,ASS_NURSE
10000000078,ADMIN_NURSE
10000000079,NURSE
