AMKA,First_Name,Last_Name,Father_Name,Age,Gender,Weight,Height,Address,Phone,Email,Job,Citizenship,Insurance
54686989143,Ελένη,Διαμαντής,Γιώργος,100,Female,18,100,721 Kim Pass,6987876262,agirardy0@tamu.edu,Assistant Media Planner,Norway,Ιδιωτική Ασφάλεια
30276014150,Βασιλική,Παπαδάκη,Δημήτρης,50,Female,48,132,8 Helena Park,6921991171,ccussins1@sakura.ne.jp,Associate Professor,Portugal,Ιδιωτική Ασφάλεια
66041820343,Χρήστος,Παπαδόπουλος,Βασίλης,36,Male,94,143,047 Crowley Drive,6915844981,jpatterfield2@wikimedia.org,Biostatistician I,Indonesia,Ιδιωτική Ασφάλεια
13912513577,Ελένη,Παππάς,Νίκος,55,Female,99,184,51549 Glacier Hill Drive,6948561432,rkoppelmann3@fda.gov,Account Coordinator,Nigeria,Ιδιωτική Ασφάλεια
18352921227,Βασιλική,Καραγιάννη,Βασίλης,30,Female,106,193,86002 Stuart Crossing,6966964694,lgreedyer4@hibu.com,Staff Scientist,Finland,Ανασφάλιστος
11744318225,Βασιλική,Νικολάου,Χρήστος,46,Female,64,196,32 Southridge Junction,6921171918,pcluse5@npr.org,Nurse,Indonesia,Ιδιωτική Ασφάλεια
87966363544,Παναγιώτης,Παππάς,Μιχάλης,1,Male,48,174,30 Swallow Plaza,6954538059,hkirwin6@histats.com,Budget/Accounting Analyst I,Poland,Ανασφάλιστος
57869321901,Ελένη,Μακρής,Κώστας,11,Female,29,194,41 La Follette Drive,6968417184,rhansman7@gizmodo.com,Help Desk Technician,Indonesia,Ανασφάλιστος
29179888281,Μιχάλης,Λάσκαρης,Βασίλης,88,Male,50,111,34 Cascade Road,6934661357,blubbock8@posterous.com,Assistant Professor,China,Ανασφάλιστος
20821766978,Χρήστος,Γεωργίου,Μιχάλης,76,Male,128,128,45673 Nobel Street,6917070342,bstorrs9@answers.com,Clinical Specialist,Russia,Ιδιωτική Ασφάλεια
99064254588,Παναγιώτης,Δημητρίου,Βασίλης,40,Male,76,130,03274 Graedel Place,6937499656,mwestmorlanda@shareasale.com,Product Engineer,France,Ανασφάλιστος
88777792801,Σοφία,Καραγιάννη,Θανάσης,41,Female,113,202,9813 Bellgrove Alley,6959921996,wcominottib@hibu.com,Occupational Therapist,Portugal,ΕΦΚΑ
23726466207,Δημήτρης,Λάσκαρης,Γιώργος,77,Male,94,61,776 South Avenue,6952781252,lmahonc@admin.ch,Community Outreach Specialist,China,ΕΦΚΑ
47734553672,Δημήτρης,Κωστόπουλος,Δημήτρης,66,Male,125,146,3 Packers Street,6998630321,mtippled@upenn.edu,Geologist III,United States,Ανασφάλιστος
83923601134,Αγγελική,Καραγιάννη,Νίκος,36,Female,13,134,297 Straubel Center,6931432657,jhoudmonte@shutterfly.com,Health Coach III,Indonesia,ΕΦΚΑ
95162779500,Γιάννης,Αγγελόπουλος,Δημήτρης,91,Male,105,169,0 Sundown Way,6935452438,tyokelf@phpbb.com,Electrical Engineer,Philippines,Ανασφάλιστος
44060356137,Ελένη,Μακρής,Δημήτρης,94,Female,9,121,4 Spaight Road,6978675718,rledesg@goodreads.com,Research Associate,Indonesia,ΕΦΚΑ
33263898781,Γιώργος,Καραγιάννης,Μιχάλης,50,Male,28,132,94 Dwight Point,6921455370,ngookeyh@vkontakte.ru,VP Product Management,Brazil,Ιδιωτική Ασφάλεια
18074378002,Κώστας,Παπαδόπουλος,Παναγιώτης,19,Male,24,82,826 Farragut Circle,6979993753,fhantuschi@seattletimes.com,Environmental Specialist,Turkmenistan,ΕΦΚΑ
73757238292,Νίκος,Νικολάου,Νίκος,84,Male,14,189,260 Redwing Pass,6949510180,rfosdikej@unc.edu,Compensation Analyst,Russia,Ιδιωτική Ασφάλεια
94804778024,Γιώργος,Παπαδόπουλος,Γιώργος,44,Male,80,191,294 Redwing Alley,6977898490,ewhacketk@ustream.tv,Business Systems Development Analyst,Portugal,Ιδιωτική Ασφάλεια
14642682175,Θανάσης,Παππάς,Παναγιώτης,25,Male,132,164,8 Dawn Avenue,6915039232,pharstonl@godaddy.com,Engineer III,Brazil,Ιδιωτική Ασφάλεια
58338345625,Κώστας,Βασιλείου,Μιχάλης,24,Male,36,152,83883 Blue Bill Park Way,6981819199,chollyarm@flavors.me,Analog Circuit Design manager,Philippines,Ανασφάλιστος
46499927205,Αγγελική,Κωστόπουλου,Μιχάλης,6,Female,32,143,03304 Maple Hill,6997697942,tephsonn@si.edu,Registered Nurse,France,Ιδιωτική Ασφάλεια
29572535212,Σοφία,Παπαδάκη,Θανάσης,66,Female,135,169,9731 Havey Lane,6922607593,spolacko@hatena.ne.jp,Developer IV,Canada,ΕΦΚΑ
58303625460,Δημήτρης,Δημητρίου,Κώστας,81,Male,123,182,77 Magdeline Court,6984566903,drycep@fc2.com,Actuary,China,Ανασφάλιστος
13361231045,Αγγελική,Βασιλείου,Γιώργος,8,Female,18,115,46516 Dexter Center,6956748271,rhuddlesq@europa.eu,Internal Auditor,Sweden,ΕΦΚΑ
93904760474,Γιάννης,Νικολάου,Βασίλης,67,Male,73,193,9 Elka Center,6914053190,lpresideyr@pen.io,Quality Control Specialist,France,Ανασφάλιστος
52334260261,Χρήστος,Παππάς,Θανάσης,95,Male,3,85,22791 Center Park,6945405202,egamesons@techcrunch.com,VP Marketing,Russia,Ιδιωτική Ασφάλεια
16963648622,Μαρία,Διαμαντής,Δημήτρης,47,Female,94,107,360 Holy Cross Street,6936666936,bgerleitt@clickbank.net,Research Nurse,Sri Lanka,ΕΦΚΑ
92131335755,Ελένη,Σταματόπουλου,Θανάσης,78,Female,26,53,9 Autumn Leaf Parkway,6996876977,oweighu@ihg.com,Web Developer III,Indonesia,Ανασφάλιστος
37624612283,Μιχάλης,Λάσκαρης,Γιώργος,79,Male,133,201,477 Magdeline Circle,6949743745,arosentholerv@yellowpages.com,Business Systems Development Analyst,Indonesia,ΕΦΚΑ
74229039891,Κώστας,Παπαδόπουλος,Γιώργος,6,Male,4,132,9 Pearson Crossing,6929116437,bmillmorew@ning.com,Pharmacist,China,Ανασφάλιστος
77458145750,Χρήστος,Ιωάννου,Δημήτρης,77,Male,129,92,80 Bultman Point,6929722035,kpontainx@ted.com,Teacher,Slovenia,ΕΦΚΑ
23206152564,Μιχάλης,Αγγελόπουλος,Χρήστος,78,Male,52,50,98 Waubesa Alley,6949106231,pharrymany@vk.com,Internal Auditor,Djibouti,Ανασφάλιστος
56837290051,Κώστας,Δημητρίου,Χρήστος,7,Male,76,77,00537 Debra Parkway,6922380860,pcastagnaz@stanford.edu,VP Marketing,China,Ανασφάλιστος
24297420672,Άννα,Γεωργίου,Βασίλης,81,Female,102,62,702 Hansons Avenue,6941512261,bgallemore10@miibeian.gov.cn,Paralegal,Serbia,Ανασφάλιστος
13666164809,Παναγιώτης,Ιωάννου,Δημήτρης,63,Male,148,65,885 Vermont Pass,6965701865,cingree11@flavors.me,Mechanical Systems Engineer,Thailand,Ανασφάλιστος
93826706493,Σοφία,Νικολάου,Γιάννης,43,Female,107,104,311 Mccormick Road,6938846253,nsteanson12@theguardian.com,Database Administrator II,China,ΕΦΚΑ
90907450300,Βασίλης,Γεωργίου,Μιχάλης,87,Male,9,175,3927 Quincy Place,6988401382,spitney13@google.ca,Operator,Russia,Ιδιωτική Ασφάλεια
42145824142,Σοφία,Γεωργίου,Νίκος,10,Female,39,172,379 Emmet Junction,6922438811,ccumbers14@typepad.com,Executive Secretary,Greece,Ιδιωτική Ασφάλεια
79695643575,Αγγελική,Παππάς,Κώστας,94,Female,88,202,5 Harper Place,6919042398,rperigeaux15@nymag.com,Help Desk Technician,China,Ιδιωτική Ασφάλεια
32981302546,Βασίλης,Δημητρίου,Θανάσης,39,Male,89,111,5 Manufacturers Lane,6936521368,crowat16@noaa.gov,Systems Administrator IV,Brazil,ΕΦΚΑ
75973661145,Ελένη,Αγγελόπουλου,Γιάννης,28,Female,14,55,32762 Forster Crossing,6961326861,jhaysman17@gov.uk,Assistant Media Planner,Kazakhstan,ΕΦΚΑ
79902457715,Παναγιώτης,Παπαδόπουλος,Κώστας,42,Male,63,118,839 Briar Crest Place,6941035593,rchallin18@weibo.com,Analyst Programmer,Bulgaria,Ανασφάλιστος
90583591589,Ιωάννα,Δημητρίου,Παναγιώτης,59,Female,13,150,4 Dawn Center,6977525250,hlavell19@cnbc.com,Software Engineer III,Thailand,Ιδιωτική Ασφάλεια
84686489688,Κώστας,Καραγιάννης,Νίκος,8,Male,10,53,567 Leroy Street,6986658644,kfludder1a@about.me,Assistant Professor,Serbia,Ανασφάλιστος
64401533943,Βασιλική,Νικολάου,Χρήστος,17,Female,45,113,5557 Dennis Pass,6967141482,lhakonsen1b@cisco.com,Data Coordinator,Slovenia,Ανασφάλιστος
33169238506,Δημήτρης,Δημητρίου,Νίκος,70,Male,19,186,31417 Sundown Lane,6989860495,ele1c@google.co.uk,Nurse,Cyprus,Ιδιωτική Ασφάλεια
52575000527,Ελένη,Διαμαντής,Βασίλης,71,Female,26,57,2 Memorial Lane,6949531628,sesel1d@blogger.com,Electrical Engineer,Indonesia,Ανασφάλιστος
75406843147,Δημήτρης,Μακρής,Θανάσης,6,Male,146,90,659 Kim Pass,6918092825,tspofforth1e@twitpic.com,Human Resources Assistant III,China,Ανασφάλιστος
60142664132,Γιώργος,Νικολάου,Κώστας,89,Male,141,200,8 Susan Lane,6981009980,skemmett1f@printfriendly.com,Business Systems Development Analyst,Malaysia,Ανασφάλιστος
24472724997,Μιχάλης,Δημητρίου,Θανάσης,49,Male,73,154,455 Novick Trail,6975699746,rghiotto1g@adobe.com,Programmer Analyst IV,China,ΕΦΚΑ
60197902331,Γιώργος,Βασιλείου,Θανάσης,94,Male,80,79,0 Rutledge Place,6925787602,chawyes1h@163.com,Account Coordinator,Poland,ΕΦΚΑ
