proc_id,amka,role
1,46055220563,MAIN_SURGEON
2,27946441835,MAIN_SURGEON
2,10000000047,ASSISTANT
3,57199282441,MAIN_SURGEON
3,10000000048,ASSISTANT
3,36702445480,ASSISTANT
4,62743168874,MAIN_SURGEON
4,10000000007,ASSISTANT
4,94374664371,ASSISTANT
5,73253025603,MAIN_SURGEON
5,10000000071,ASSISTANT
5,41069533517,ASSISTANT
6,91367023329,MAIN_SURGEON
6,10000000044,ASSISTANT
7,20287442157,MAIN_SURGEON
7,10000000065,ASSISTANT
7,84320135602,ASSISTANT
8,81344410739,MAIN_SURGEON
8,10000000050,ASSISTANT
8,97287210691,ASSISTANT
9,40850595762,MAIN_SURGEON
9,10000000037,ASSISTANT
10,30639295654,MAIN_SURGEON
10,10000000033,ASSISTANT
10,84320135602,ASSISTANT
11,80036372124,MAIN_SURGEON
12,85282038277,MAIN_SURGEON
13,95448079151,MAIN_SURGEON
14,38538288127,MAIN_SURGEON
14,10000000017,ASSISTANT
15,15517900330,MAIN_SURGEON
15,10000000015,ASSISTANT
15,98451520706,ASSISTANT
16,50922589695,MAIN_SURGEON
16,10000000002,ASSISTANT
17,98870684482,MAIN_SURGEON
18,50922589695,MAIN_SURGEON
19,67697807470,MAIN_SURGEON
19,10000000050,ASSISTANT
19,20140926142,ASSISTANT
20,21389790404,MAIN_SURGEON
21,74997800957,MAIN_SURGEON
21,10000000061,ASSISTANT
22,13706183648,MAIN_SURGEON
22,10000000017,ASSISTANT
22,97287210691,ASSISTANT
23,27946441835,MAIN_SURGEON
24,30871168286,MAIN_SURGEON
25,55878996856,MAIN_SURGEON
26,19276620746,MAIN_SURGEON
26,10000000011,ASSISTANT
27,60344799227,MAIN_SURGEON
27,10000000010,ASSISTANT
28,91367023329,MAIN_SURGEON
29,91367023329,MAIN_SURGEON
30,44869451267,MAIN_SURGEON
31,74997800957,MAIN_SURGEON
31,10000000052,ASSISTANT
31,51734845697,ASSISTANT
32,41069533517,MAIN_SURGEON
33,33575450249,MAIN_SURGEON
34,38538288127,MAIN_SURGEON
35,95448079151,MAIN_SURGEON
36,48486875122,MAIN_SURGEON
36,10000000057,ASSISTANT
37,30639295654,MAIN_SURGEON
37,10000000053,ASSISTANT
37,32379434579,ASSISTANT
38,13706183648,MAIN_SURGEON
38,10000000068,ASSISTANT
38,36702445480,ASSISTANT
39,81344410739,MAIN_SURGEON
39,10000000072,ASSISTANT
39,97287210691,ASSISTANT
40,30871168286,MAIN_SURGEON
41,94374664371,MAIN_SURGEON
41,10000000068,ASSISTANT
42,33860842912,MAIN_SURGEON
42,10000000015,ASSISTANT
42,83923788555,ASSISTANT
43,13706183648,MAIN_SURGEON
43,10000000004,ASSISTANT
43,36702445480,ASSISTANT
44,53727815147,MAIN_SURGEON
45,60344799227,MAIN_SURGEON
46,27946441835,MAIN_SURGEON
46,10000000063,ASSISTANT
47,31551628292,MAIN_SURGEON
48,80036372124,MAIN_SURGEON
48,10000000035,ASSISTANT
48,85282038277,ASSISTANT
49,60334753081,MAIN_SURGEON
49,10000000029,ASSISTANT
50,33860842912,MAIN_SURGEON
51,47960718664,MAIN_SURGEON
51,10000000072,ASSISTANT
52,98870684482,MAIN_SURGEON
53,18193427864,MAIN_SURGEON
54,60552999461,MAIN_SURGEON
54,10000000012,ASSISTANT
55,97287210691,MAIN_SURGEON
55,10000000017,ASSISTANT
