amka,shift_id,role
13706183648,1,DOCTOR
15517900330,1,DOCTOR
18716063973,1,DOCTOR
10000000000,1,NURSE
10000000001,1,NURSE
10000000002,1,NURSE
10000000003,1,NURSE
10000000004,1,NURSE
10000000005,1,NURSE
20000000000,1,ADMIN
20000000001,1,ADMIN
32379434579,2,DOCTOR
45979296668,2,DOCTOR
46055220563,2,DOCTOR
10000000048,2,NURSE
10000000049,2,NURSE
10000000050,2,NURSE
10000000051,2,NURSE
10000000052,2,NURSE
10000000053,2,NURSE
20000000016,2,ADMIN
20000000017,2,ADMIN
18193427864,3,DOCTOR
20140926142,3,DOCTOR
22561283452,3,DOCTOR
10000000006,3,NURSE
10000000007,3,NURSE
10000000008,3,NURSE
10000000009,3,NURSE
10000000010,3,NURSE
10000000011,3,NURSE
20000000002,3,ADMIN
20000000003,3,ADMIN
33860842912,4,DOCTOR
50922589695,4,DOCTOR
51734845697,4,DOCTOR
10000000054,4,NURSE
10000000055,4,NURSE
10000000056,4,NURSE
10000000057,4,NURSE
10000000058,4,NURSE
10000000059,4,NURSE
20000000018,4,ADMIN
20000000019,4,ADMIN
19276620746,5,DOCTOR
22585413484,5,DOCTOR
27946441835,5,DOCTOR
10000000012,5,NURSE
10000000013,5,NURSE
10000000014,5,NURSE
10000000015,5,NURSE
10000000016,5,NURSE
10000000017,5,NURSE
20000000004,5,ADMIN
20000000005,5,ADMIN
35134846364,6,DOCTOR
51927673524,6,DOCTOR
52288372388,6,DOCTOR
10000000060,6,NURSE
10000000061,6,NURSE
10000000062,6,NURSE
10000000063,6,NURSE
10000000064,6,NURSE
10000000065,6,NURSE
20000000020,6,ADMIN
20000000021,6,ADMIN
20287442157,7,DOCTOR
30689575097,7,DOCTOR
30871168286,7,DOCTOR
10000000018,7,NURSE
10000000019,7,NURSE
10000000020,7,NURSE
10000000021,7,NURSE
10000000022,7,NURSE
10000000023,7,NURSE
20000000006,7,ADMIN
20000000007,7,ADMIN
21389790404,8,DOCTOR
33575450249,8,DOCTOR
35895166626,8,DOCTOR
10000000024,8,NURSE
10000000025,8,NURSE
10000000026,8,NURSE
10000000027,8,NURSE
10000000028,8,NURSE
10000000029,8,NURSE
20000000008,8,ADMIN
20000000009,8,ADMIN
30639295654,9,DOCTOR
37233268274,9,DOCTOR
38538288127,9,DOCTOR
10000000030,9,NURSE
10000000031,9,NURSE
10000000032,9,NURSE
10000000033,9,NURSE
10000000034,9,NURSE
10000000035,9,NURSE
20000000010,9,ADMIN
20000000011,9,ADMIN
31551628292,10,DOCTOR
39243562439,10,DOCTOR
40850595762,10,DOCTOR
10000000036,10,NURSE
10000000037,10,NURSE
10000000038,10,NURSE
10000000039,10,NURSE
10000000040,10,NURSE
10000000041,10,NURSE
20000000012,10,ADMIN
20000000013,10,ADMIN
31976884284,11,DOCTOR
41069533517,11,DOCTOR
44869451267,11,DOCTOR
10000000042,11,NURSE
10000000043,11,NURSE
10000000044,11,NURSE
10000000045,11,NURSE
10000000046,11,NURSE
10000000047,11,NURSE
20000000014,11,ADMIN
20000000015,11,ADMIN
36702445480,12,DOCTOR
53262763012,12,DOCTOR
53434182353,12,DOCTOR
10000000066,12,NURSE
10000000067,12,NURSE
10000000068,12,NURSE
10000000069,12,NURSE
10000000070,12,NURSE
10000000071,12,NURSE
20000000022,12,ADMIN
20000000023,12,ADMIN
74895326292,13,DOCTOR
82857924186,13,DOCTOR
89981892222,13,DOCTOR
10000000034,13,NURSE
10000000035,13,NURSE
10000000036,13,NURSE
10000000037,13,NURSE
10000000038,13,NURSE
10000000039,13,NURSE
20000000008,13,ADMIN
20000000009,13,ADMIN
40889689402,14,DOCTOR
53727815147,14,DOCTOR
55878996856,14,DOCTOR
10000000072,14,NURSE
10000000073,14,NURSE
10000000074,14,NURSE
10000000075,14,NURSE
10000000076,14,NURSE
10000000077,14,NURSE
20000000024,14,ADMIN
20000000025,14,ADMIN
75339133780,15,DOCTOR
94374664371,15,DOCTOR
95448079151,15,DOCTOR
10000000040,15,NURSE
10000000041,15,NURSE
10000000042,15,NURSE
10000000043,15,NURSE
10000000044,15,NURSE
10000000045,15,NURSE
20000000010,15,ADMIN
20000000011,15,ADMIN
47960718664,16,DOCTOR
56650467990,16,DOCTOR
57199282441,16,DOCTOR
10000000000,16,NURSE
10000000001,16,NURSE
10000000002,16,NURSE
10000000003,16,NURSE
10000000078,16,NURSE
10000000079,16,NURSE
20000000026,16,ADMIN
20000000027,16,ADMIN
77117947422,17,DOCTOR
98451520706,17,DOCTOR
98901183989,17,DOCTOR
10000000046,17,NURSE
10000000047,17,NURSE
10000000048,17,NURSE
10000000049,17,NURSE
10000000050,17,NURSE
10000000051,17,NURSE
20000000012,17,ADMIN
20000000013,17,ADMIN
48486875122,18,DOCTOR
60170274590,18,DOCTOR
60552999461,18,DOCTOR
10000000004,18,NURSE
10000000005,18,NURSE
10000000006,18,NURSE
10000000007,18,NURSE
10000000008,18,NURSE
10000000009,18,NURSE
20000000028,18,ADMIN
20000000029,18,ADMIN
56784597458,19,DOCTOR
62496380045,19,DOCTOR
62743168874,19,DOCTOR
10000000010,19,NURSE
10000000011,19,NURSE
10000000012,19,NURSE
10000000013,19,NURSE
10000000014,19,NURSE
10000000015,19,NURSE
20000000000,19,ADMIN
20000000001,19,ADMIN
60334753081,20,DOCTOR
65063112418,20,DOCTOR
67697807470,20,DOCTOR
10000000016,20,NURSE
10000000017,20,NURSE
10000000018,20,NURSE
10000000019,20,NURSE
10000000020,20,NURSE
10000000021,20,NURSE
20000000002,20,ADMIN
20000000003,20,ADMIN
60344799227,21,DOCTOR
67758463500,21,DOCTOR
73253025603,21,DOCTOR
10000000022,21,NURSE
10000000023,21,NURSE
10000000024,21,NURSE
10000000025,21,NURSE
10000000026,21,NURSE
10000000027,21,NURSE
20000000004,21,ADMIN
20000000005,21,ADMIN
62066779638,22,DOCTOR
74997800957,22,DOCTOR
78832401220,22,DOCTOR
10000000028,22,NURSE
10000000029,22,NURSE
10000000030,22,NURSE
10000000031,22,NURSE
10000000032,22,NURSE
10000000033,22,NURSE
