UnknownTable
---
| total_cost | total_additional_cost | total_base_cost | dept_name | year | insurance | ken_code | 
| ---: | ---: | ---: | --- | ---: | --- | --- | 
| 3232.00 | 1170.00 | 2062.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Γ04Μ | 
| 3785.00 | 0.00 | 39863.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Ε06Μ | 
| 3094.00 | 0.00 | 3297.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Θ03Α | 
| 3608.00 | 0.00 | 4166.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Κ10Μ | 
| 2785.00 | 1672.00 | 1113.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Κ43Μ | 
| 5996.00 | 0.00 | 9606.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Μ01Χ | 
| 4494.00 | 1064.00 | 3430.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Μ02Χ | 
| 2088.00 | 0.00 | 6411.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Μ03Χ | 
| 2363.00 | 0.00 | 14720.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Μ09Μ | 
| 2420.00 | 1710.00 | 710.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Μ24Α | 
| 7493.00 | 0.00 | 14718.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Τ23Α | 
| 1776.00 | 0.00 | 5818.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Τ24Α | 
| 2711.00 | 1793.00 | 918.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Τ27Μγ | 
| 3719.00 | 1151.00 | 2568.00 | Ακτινολογικό | 2025 | Ανασφάλιστος | Χ43Α | 
| 4715.00 | 4063.00 | 652.00 | Ακτινολογικό | 2025 | ΕΦΚΑ | Μ66Χ | 
| 5783.00 | 5106.00 | 677.00 | Ακτινολογικό | 2025 | ΕΦΚΑ | Π40Χ | 
| 3186.00 | 2674.00 | 512.00 | Ακτινολογικό | 2025 | ΕΦΚΑ | Τ20Χ | 
| 4521.00 | 0.00 | 30725.00 | Ακτινολογικό | 2025 | ΕΦΚΑ | Τ22Α | 
| 3595.00 | 0.00 | 7359.00 | Ακτινολογικό | 2025 | ΕΦΚΑ | Τ23Α | 
| 6915.00 | 5621.00 | 1294.00 | Ακτινολογικό | 2025 | ΕΦΚΑ | Τ27Μβ | 
| 2847.00 | 1882.00 | 965.00 | Ακτινολογικό | 2025 | ΕΦΚΑ | Χ45Α | 
| 2003.00 | 0.00 | 3576.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Γ12Μ | 
| 4650.00 | 0.00 | 37063.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Ε13Α | 
| 3806.00 | 237.00 | 3569.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Κ14Μα | 
| 6491.00 | 5839.00 | 652.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Μ66Χ | 
| 2741.00 | 1582.00 | 1159.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Ν24Χ | 
| 5337.00 | 5010.00 | 327.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Ο22Α | 
| 3890.00 | 3646.00 | 244.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ20Μ | 
| 11047.00 | 0.00 | 29436.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ23Α | 
| 4174.00 | 0.00 | 5872.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ25Μα | 
| 3718.00 | 0.00 | 4145.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ25Μβ | 
| 2415.00 | 0.00 | 3158.00 | Ακτινολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ25Μγ | 
| 1274.00 | 0.00 | 7359.00 | Ακτινολογικό | 2026 | Ανασφάλιστος | Τ23Α | 
| 3188.00 | 296.00 | 2892.00 | Ακτινολογικό | 2026 | ΕΦΚΑ | Κ17Μ | 
| 1110.00 | 0.00 | 6411.00 | Ακτινολογικό | 2026 | ΕΦΚΑ | Μ03Χ | 
| 5255.00 | 3029.00 | 2226.00 | Ακτινολογικό | 2026 | Ιδιωτική Ασφάλεια | Κ18Μ | 
| 6285.00 | 0.00 | 9606.00 | Γυναικολογικό | 2025 | Ανασφάλιστος | Μ01Χ | 
| 1064.00 | 0.00 | 2179.00 | Γυναικολογικό | 2025 | Ανασφάλιστος | Μ27Μ | 
| 4106.00 | 0.00 | 9963.00 | Γυναικολογικό | 2025 | Ανασφάλιστος | Μ32Μβ | 
| 4717.00 | 4289.00 | 428.00 | Γυναικολογικό | 2025 | Ανασφάλιστος | Μ69Χ | 
| 4837.00 | 0.00 | 11636.00 | Γυναικολογικό | 2025 | Ανασφάλιστος | Τ24Α | 
| 5754.00 | 4608.00 | 1146.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Κ18Χ | 
| 4262.00 | 0.00 | 9606.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Μ01Χ | 
| 4375.00 | 3714.00 | 661.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Μ23Α | 
| 3319.00 | 0.00 | 12912.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Μ32Μα | 
| 3190.00 | 2770.00 | 420.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Ο23Α | 
| 2591.00 | 0.00 | 20279.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Τ02Α | 
| 5151.00 | 0.00 | 41579.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Τ21Α | 
| 4005.00 | 0.00 | 30725.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Τ22Α | 
| 1474.00 | 0.00 | 7359.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Τ23Α | 
| 1628.00 | 710.00 | 918.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Τ27Μγ | 
| 4796.00 | 2228.00 | 2568.00 | Γυναικολογικό | 2025 | ΕΦΚΑ | Χ43Α | 
| 3298.00 | 2909.00 | 389.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Μ76Χ | 
| 5437.00 | 3048.00 | 2389.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Ν24Μ | 
| 5857.00 | 4831.00 | 1026.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Ο15Α | 
| 3811.00 | 3391.00 | 420.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Ο23Α | 
| 2246.00 | 0.00 | 20279.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ02Α | 
| 3186.00 | 2674.00 | 512.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ20Χ | 
| 5675.00 | 0.00 | 14718.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ23Α | 
| 3318.00 | 0.00 | 5818.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ24Α | 
| 3072.00 | 2154.00 | 918.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Τ27Μγ | 
| 1146.00 | 0.00 | 1189.00 | Γυναικολογικό | 2025 | Ιδιωτική Ασφάλεια | Υ02Χ | 
| 3719.00 | 755.00 | 2964.00 | Γυναικολογικό | 2026 | Ανασφάλιστος | Γ01Α | 
| 5256.00 | 3933.00 | 1323.00 | Γυναικολογικό | 2026 | Ανασφάλιστος | Μ71Μ | 
| 8402.00 | 0.00 | 14718.00 | Γυναικολογικό | 2026 | Ανασφάλιστος | Τ23Α | 
| 4650.00 | 3525.00 | 1125.00 | Γυναικολογικό | 2026 | Ανασφάλιστος | Ω06Α | 
| 5246.00 | 5002.00 | 244.00 | Γυναικολογικό | 2026 | ΕΦΚΑ | Τ20Μ | 
| 3206.00 | 2039.00 | 1167.00 | Γυναικολογικό | 2026 | Ιδιωτική Ασφάλεια | Ζ22Μ | 
| 1944.00 | 0.00 | 2249.00 | Γυναικολογικό | 2026 | Ιδιωτική Ασφάλεια | Μ73Μ | 
| 4255.00 | 0.00 | 41579.00 | Γυναικολογικό | 2026 | Ιδιωτική Ασφάλεια | Τ21Α | 
| 1776.00 | 0.00 | 5818.00 | Γυναικολογικό | 2026 | Ιδιωτική Ασφάλεια | Τ24Α | 
| 1751.00 | 1079.00 | 672.00 | Δερματολογικό | 2025 | Ανασφάλιστος | Δ10Α | 
| 929.00 | 0.00 | 11734.00 | Δερματολογικό | 2025 | Ανασφάλιστος | Κ03Χ | 
| 4876.00 | 2650.00 | 2226.00 | Δερματολογικό | 2025 | Ανασφάλιστος | Κ18Μ | 
| 3221.00 | 2847.00 | 374.00 | Δερματολογικό | 2025 | Ανασφάλιστος | Κ36Χ | 
| 5943.00 | 4410.00 | 1533.00 | Δερματολογικό | 2025 | Ανασφάλιστος | Μ69Μ | 
| 4568.00 | 4324.00 | 244.00 | Δερματολογικό | 2025 | Ανασφάλιστος | Τ20Μ | 
| 1474.00 | 0.00 | 7359.00 | Δερματολογικό | 2025 | Ανασφάλιστος | Τ23Α | 
| 4709.00 | 1865.00 | 2844.00 | Δερματολογικό | 2025 | ΕΦΚΑ | Κ02Α | 
| 5029.00 | 4087.00 | 942.00 | Δερματολογικό | 2025 | ΕΦΚΑ | Κ42Μ | 
| 6085.00 | 5424.00 | 661.00 | Δερματολογικό | 2025 | ΕΦΚΑ | Μ23Α | 
| 3844.00 | 1315.00 | 2529.00 | Δερματολογικό | 2025 | ΕΦΚΑ | Ν27Μα | 
| 1777.00 | 0.00 | 7359.00 | Δερματολογικό | 2025 | ΕΦΚΑ | Τ23Α | 
| 3049.00 | 0.00 | 4145.00 | Δερματολογικό | 2025 | ΕΦΚΑ | Τ25Μβ | 
| 3405.00 | 1495.00 | 1910.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Α12Α | 
| 1631.00 | 456.00 | 1175.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Α26Μβ | 
| 5558.00 | 5208.00 | 350.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Δ25Χ | 
| 3641.00 | 0.00 | 15548.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Ε06Χβ | 
| 2133.00 | 0.00 | 12420.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Κ01Χ | 
| 5417.00 | 4790.00 | 627.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Κ38Χ | 
| 5218.00 | 3950.00 | 1268.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Κ39Μ | 
| 4375.00 | 3714.00 | 661.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Μ23Α | 
| 4002.00 | 1473.00 | 2529.00 | Δερματολογικό | 2025 | Ιδιωτική Ασφάλεια | Ν27Μα | 
