staff
---
| amka | name | surname | age | email | phone | hire_date | type | 
| ---: | --- | --- | ---: | --- | ---: | --- | --- | 
| 10000000028 | Μαρία | Αγγελόπουλου | 60 | nurse28@hospital.gr | 6944953033 | 2023-04-18 00:00:00 | NURSE | 
| 10000000029 | Μαρία | Παπαδάκη | 65 | nurse29@hospital.gr | 6922094486 | 2018-03-29 00:00:00 | NURSE | 
| 10000000030 | Μαρία | Ιωάννου | 44 | nurse30@hospital.gr | 6911365912 | 2023-07-25 00:00:00 | NURSE | 
| 10000000031 | Ελένη | Μακρής | 65 | nurse31@hospital.gr | 6944991955 | 2018-12-25 00:00:00 | NURSE | 
| 10000000032 | Σοφία | Παπαδόπουλου | 34 | nurse32@hospital.gr | 6931196585 | 2024-08-26 00:00:00 | NURSE | 
| 10000000033 | Μιχάλης | Μακρής | 50 | nurse33@hospital.gr | 6996432724 | 2019-12-19 00:00:00 | NURSE | 
| 10000000034 | Γιώργος | Καραγιάννης | 58 | nurse34@hospital.gr | 6946399707 | 2015-04-16 00:00:00 | NURSE | 
| 10000000035 | Ιωάννα | Παπαδόπουλου | 61 | nurse35@hospital.gr | 6962100521 | 2018-03-07 00:00:00 | NURSE | 
| 10000000036 | Βασιλική | Παππάς | 40 | nurse36@hospital.gr | 6990494640 | 2019-12-21 00:00:00 | NURSE | 
| 10000000037 | Ιωάννα | Αγγελόπουλου | 23 | nurse37@hospital.gr | 6987841766 | 2024-04-11 00:00:00 | NURSE | 
| 10000000038 | Νίκος | Βασιλείου | 30 | nurse38@hospital.gr | 6914752454 | 2023-08-16 00:00:00 | NURSE | 
| 10000000039 | Βασιλική | Γεωργίου | 62 | nurse39@hospital.gr | 6952057490 | 2016-07-29 00:00:00 | NURSE | 
| 10000000040 | Άννα | Νικολάου | 53 | nurse40@hospital.gr | 6992686311 | 2019-05-01 00:00:00 | NURSE | 
| 10000000041 | Σοφία | Καραγιάννη | 52 | nurse41@hospital.gr | 6946924018 | 2018-09-03 00:00:00 | NURSE | 
| 10000000042 | Ιωάννα | Βασιλείου | 33 | nurse42@hospital.gr | 6977020819 | 2016-04-27 00:00:00 | NURSE | 
| 10000000043 | Γιώργος | Λάσκαρης | 25 | nurse43@hospital.gr | 6912031117 | 2020-11-02 00:00:00 | NURSE | 
| 10000000044 | Δήμητρα | Καραγιάννη | 45 | nurse44@hospital.gr | 6975711421 | 2015-11-14 00:00:00 | NURSE | 
| 10000000045 | Σοφία | Νικολάου | 51 | nurse45@hospital.gr | 6936068969 | 2018-08-14 00:00:00 | NURSE | 
| 10000000046 | Άννα | Λάσκαρη | 65 | nurse46@hospital.gr | 6988990568 | 2024-01-10 00:00:00 | NURSE | 
| 10000000047 | Δήμητρα | Νικολάου | 37 | nurse47@hospital.gr | 6984038628 | 2024-09-16 00:00:00 | NURSE | 
| 10000000048 | Ιωάννα | Παπαδάκη | 22 | nurse48@hospital.gr | 6999486664 | 2020-04-18 00:00:00 | NURSE | 
| 10000000049 | Ελένη | Νικολάου | 33 | nurse49@hospital.gr | 6988003039 | 2021-01-29 00:00:00 | NURSE | 
| 10000000050 | Γεωργία | Νικολάου | 33 | nurse50@hospital.gr | 6958072815 | 2019-06-07 00:00:00 | NURSE | 
| 10000000051 | Κατερίνα | Κωστόπουλου | 55 | nurse51@hospital.gr | 6920059075 | 2023-12-10 00:00:00 | NURSE | 
| 10000000052 | Αγγελική | Νικολάου | 59 | nurse52@hospital.gr | 6925370014 | 2023-10-16 00:00:00 | NURSE | 
| 10000000053 | Μαρία | Παππάς | 37 | nurse53@hospital.gr | 6912142737 | 2022-03-16 00:00:00 | NURSE | 
| 10000000054 | Ελένη | Παππάς | 58 | nurse54@hospital.gr | 6926279008 | 2023-11-03 00:00:00 | NURSE | 
| 10000000055 | Ελένη | Ιωάννου | 29 | nurse55@hospital.gr | 6983170600 | 2015-01-10 00:00:00 | NURSE | 
| 10000000056 | Άννα | Ιωάννου | 58 | nurse56@hospital.gr | 6971593799 | 2022-02-23 00:00:00 | NURSE | 
| 10000000057 | Μιχάλης | Αγγελόπουλος | 44 | nurse57@hospital.gr | 6996556094 | 2020-04-26 00:00:00 | NURSE | 
| 10000000058 | Μαρία | Παπαδόπουλου | 59 | nurse58@hospital.gr | 6982151880 | 2021-11-24 00:00:00 | NURSE | 
| 10000000059 | Αγγελική | Παπαδόπουλου | 32 | nurse59@hospital.gr | 6979963483 | 2024-08-07 00:00:00 | NURSE | 
| 20000000006 | Σοφία | Σταματόπουλου | 60 | admin6@hospital.gr | 6916964461 | 2011-10-28 00:00:00 | ADMIN | 
| 20000000007 | Δήμητρα | Παππάς | 65 | admin7@hospital.gr | 6960553495 | 2021-08-29 00:00:00 | ADMIN | 
| 20000000008 | Κώστας | Αγγελόπουλος | 62 | admin8@hospital.gr | 6914647530 | 2021-11-25 00:00:00 | ADMIN | 
| 20000000009 | Ελένη | Μακρής | 42 | admin9@hospital.gr | 6958586376 | 2015-03-15 00:00:00 | ADMIN | 
| 20000000010 | Γεωργία | Ιωάννου | 55 | admin10@hospital.gr | 6928828550 | 2014-08-25 00:00:00 | ADMIN | 
| 20000000011 | Δημήτρης | Γεωργίου | 34 | admin11@hospital.gr | 6974298825 | 2014-07-22 00:00:00 | ADMIN | 
| 20000000012 | Σοφία | Βασιλείου | 57 | admin12@hospital.gr | 6965354727 | 2021-09-19 00:00:00 | ADMIN | 
| 20000000013 | Βασίλης | Κωστόπουλος | 65 | admin13@hospital.gr | 6912627501 | 2015-10-16 00:00:00 | ADMIN | 
| 20000000014 | Κατερίνα | Σταματόπουλου | 25 | admin14@hospital.gr | 6996645224 | 2013-02-05 00:00:00 | ADMIN | 
| 20000000015 | Κώστας | Δημητρίου | 29 | admin15@hospital.gr | 6937342221 | 2012-02-15 00:00:00 | ADMIN | 
| 20000000016 | Νίκος | Δημητρίου | 46 | admin16@hospital.gr | 6975394378 | 2020-06-10 00:00:00 | ADMIN | 
| 20000000017 | Χρήστος | Γεωργίου | 50 | admin17@hospital.gr | 6913983064 | 2017-04-14 00:00:00 | ADMIN | 
| 20000000018 | Δήμητρα | Παπαδόπουλου | 49 | admin18@hospital.gr | 6949425442 | 2023-10-19 00:00:00 | ADMIN | 
| 20000000019 | Γεωργία | Κωστόπουλου | 26 | admin19@hospital.gr | 6928719854 | 2021-12-13 00:00:00 | ADMIN | 
| 21389790404 | Γιώργος | Δημητρίου | 64 | dcollcottr@scientificamerican.com | 6997726984 | 2004-02-01 22:32:19 | DOCTOR | 
| 30639295654 | Θανάσης | Σταματόπουλος | 43 | sfitchen1m@ycombinator.com | 6913524732 | 1999-09-02 23:07:36 | DOCTOR | 
| 31551628292 | Βασιλική | Νικολάου | 52 | tbubeer1t@yelp.com | 6952917505 | 2016-02-06 21:36:57 | DOCTOR | 
| 31976884284 | Μιχάλης | Σταματόπουλος | 48 | ttiesman10@cbslocal.com | 6936548037 | 1998-02-25 21:59:03 | DOCTOR | 
| 32379434579 | Σοφία | Παπαδόπουλου | 46 | mfayter18@buzzfeed.com | 6956403952 | 2015-01-29 04:59:19 | DOCTOR | 
| 33860842912 | Παναγιώτης | Αγγελόπουλος | 53 | cdurning0@stumbleupon.com | 6994164068 | 1993-06-10 16:48:06 | DOCTOR | 
| 35134846364 | Ελένη | Νικολάου | 60 | teslie2@auda.org.au | 6965508772 | 2024-05-29 22:39:26 | DOCTOR | 
| 36702445480 | Μαρία | Σταματόπουλου | 39 | mvendittow@wunderground.com | 6949294304 | 2009-04-07 20:29:45 | DOCTOR | 
| 37233268274 | Βασιλική | Κωστόπουλου | 57 | btamlett1u@wunderground.com | 6932069598 | 1999-09-27 09:08:45 | DOCTOR | 
| 38538288127 | Κώστας | Ιωάννου | 35 | jstuckow1h@ask.com | 6982824237 | 2007-01-30 13:41:35 | DOCTOR | 
| 39243562439 | Δήμητρα | Γεωργίου | 56 | wgetch1b@github.io | 6986140357 | 2018-08-01 07:51:35 | DOCTOR | 
| 40850595762 | Δήμητρα | Διαμαντής | 38 | vbittanyg@ucsd.edu | 6940996079 | 2012-03-16 17:39:07 | DOCTOR | 
| 40889689402 | Χρήστος | Λάσκαρης | 29 | dsomerseth@go.com | 6900113118 | 2022-12-25 07:45:13 | DOCTOR | 
| 41069533517 | Γεωργία | Κωστόπουλου | 57 | mcouser14@prnewswire.com | 6919345930 | 2003-11-17 17:48:40 | DOCTOR | 
| 44869451267 | Κώστας | Νικολάου | 29 | droobottomz@istockphoto.com | 6901627869 | 2014-06-16 04:01:04 | DOCTOR | 
| 45979296668 | Βασίλης | Λάσκαρης | 37 | wsteinx@blogs.com | 6942200333 | 2004-02-04 14:14:52 | DOCTOR | 
| 46055220563 | Μαρία | Ιωάννου | 62 | larch1i@wikimedia.org | 6959451564 | 2025-05-30 04:47:20 | DOCTOR | 
| 47960718664 | Γιάννης | Γεωργίου | 44 | msaltsbergerp@canalblog.com | 6949306436 | 2001-11-20 01:52:03 | DOCTOR | 
| 48486875122 | Χρήστος | Παπαδόπουλος | 43 | bstive16@bbc.co.uk | 6932282668 | 1997-10-15 07:57:54 | DOCTOR | 
| 50922589695 | Ελένη | Παπαδάκη | 52 | tglanz1j@ycombinator.com | 6963004781 | 2010-11-30 09:08:07 | DOCTOR | 
| 51734845697 | Δημήτρης | Παπαδάκης | 35 | fcastanho1d@census.gov | 6936072474 | 2015-03-23 16:07:24 | DOCTOR | 
| 51927673524 | Παναγιώτης | Καραγιάννης | 57 | bdulen1o@time.com | 6960432729 | 1991-01-03 08:31:22 | DOCTOR | 
| 52288372388 | Θανάσης | Δημητρίου | 26 | kloosemore1a@vk.com | 6952045159 | 1991-09-22 06:00:31 | DOCTOR | 
| 53262763012 | Νίκος | Παπαδόπουλος | 64 | kshorto5@kickstarter.com | 6954750287 | 2012-07-21 15:28:01 | DOCTOR | 
| 53434182353 | Νίκος | Αγγελόπουλος | 56 | ecancelieri@nbcnews.com | 6958627164 | 1995-01-16 03:35:39 | DOCTOR | 
| 53727815147 | Άννα | Λάσκαρη | 28 | rwestrip7@ihg.com | 6978583290 | 2012-08-28 17:03:40 | DOCTOR | 
| 55878996856 | Γεωργία | Παπαδόπουλου | 34 | jmainz11@com.com | 6987384394 | 1996-12-14 00:28:24 | DOCTOR | 
| 56650467990 | Κατερίνα | Παππάς | 35 | mloveland1z@indiatimes.com | 6996166115 | 1997-02-02 15:16:58 | DOCTOR | 
| 56784597458 | Μιχάλης | Παπαδάκης | 63 | dfodden1w@imageshack.us | 6997919211 | 2009-05-29 07:30:55 | DOCTOR | 
| 57199282441 | Άννα | Κωστόπουλου | 34 | phavesidesv@dropbox.com | 6923200453 | 2004-11-07 02:39:20 | DOCTOR | 
| 60170274590 | Θανάσης | Βασιλείου | 56 | meddicotty@state.gov | 6961544991 | 2003-01-01 08:55:07 | DOCTOR | 
| 60334753081 | Κώστας | Αγγελόπουλος | 44 | lmaharg1q@wikia.com | 6946110367 | 2005-02-16 15:16:16 | DOCTOR | 
| 60344799227 | Σοφία | Αγγελόπουλου | 50 | apinkstone1p@tiny.cc | 6932633258 | 2022-04-13 23:48:45 | DOCTOR | 
| 60552999461 | Σοφία | Μακρής | 28 | cwardrop15@webnode.com | 6943949238 | 2010-07-26 06:52:09 | DOCTOR | 
| 62066779638 | Παναγιώτης | Γεωργίου | 56 | lsumblerb@toplist.cz | 6910846642 | 2003-10-26 03:38:55 | DOCTOR | 
| 62496380045 | Δήμητρα | Παπαδάκη | 43 | wdelacour20@google.nl | 6919262431 | 2019-05-31 20:52:01 | DOCTOR | 
| 62743168874 | Βασιλική | Λάσκαρη | 38 | mwassell1g@rambler.ru | 6973476857 | 2002-10-17 02:57:55 | DOCTOR | 
