Doctor
---
| doctor_id | doctor_name | doctor_surname | supervisor_id | supervisor_name | supervisor_surname | rank | hierarchy_level | 
| ---: | --- | --- | ---: | --- | --- | --- | ---: | 
| 15517900330 | Νίκος | Καραγιάννης | 30639295654 | Θανάσης | Σταματόπουλος | SENIOR_ATTENDING | 1 | 
| 15517900330 | Νίκος | Καραγιάννης | 81344410739 | Γεωργία | Μακρής | DIRECTOR | 2 | 
| 18193427864 | Γιώργος | Κωστόπουλος | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 1 | 
| 18716063973 | Δημήτρης | Παπαδόπουλος | 60552999461 | Σοφία | Μακρής | JUNIOR_ATTENDING | 1 | 
| 18716063973 | Δημήτρης | Παπαδόπουλος | 60334753081 | Κώστας | Αγγελόπουλος | SENIOR_ATTENDING | 2 | 
| 18716063973 | Δημήτρης | Παπαδόπουλος | 92698522280 | Άννα | Ιωάννου | DIRECTOR | 3 | 
| 20140926142 | Γιώργος | Κωστόπουλος | 98451520706 | Σοφία | Βασιλείου | JUNIOR_ATTENDING | 1 | 
| 20140926142 | Γιώργος | Κωστόπουλος | 75339133780 | Άννα | Νικολάου | SENIOR_ATTENDING | 2 | 
| 20140926142 | Γιώργος | Κωστόπουλος | 36702445480 | Μαρία | Σταματόπουλου | DIRECTOR | 3 | 
| 20287442157 | Βασίλης | Γεωργίου | 13706183648 | Δημήτρης | Λάσκαρης | DIRECTOR | 1 | 
| 22561283452 | Σοφία | Παπαδάκη | 18193427864 | Γιώργος | Κωστόπουλος | SENIOR_ATTENDING | 1 | 
| 22561283452 | Σοφία | Παπαδάκη | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 2 | 
| 22585413484 | Κατερίνα | Σταματόπουλου | 91367023329 | Γιάννης | Λάσκαρης | SENIOR_ATTENDING | 1 | 
| 22585413484 | Κατερίνα | Σταματόπουλου | 60344799227 | Σοφία | Αγγελόπουλου | DIRECTOR | 2 | 
| 27946441835 | Αγγελική | Κωστόπουλου | 60552999461 | Σοφία | Μακρής | JUNIOR_ATTENDING | 1 | 
| 27946441835 | Αγγελική | Κωστόπουλου | 60334753081 | Κώστας | Αγγελόπουλος | SENIOR_ATTENDING | 2 | 
| 27946441835 | Αγγελική | Κωστόπουλου | 92698522280 | Άννα | Ιωάννου | DIRECTOR | 3 | 
| 30639295654 | Θανάσης | Σταματόπουλος | 81344410739 | Γεωργία | Μακρής | DIRECTOR | 1 | 
| 30689575097 | Ελένη | Νικολάου | 32379434579 | Σοφία | Παπαδόπουλου | SENIOR_ATTENDING | 1 | 
| 30689575097 | Ελένη | Νικολάου | 13706183648 | Δημήτρης | Λάσκαρης | DIRECTOR | 2 | 
| 30871168286 | Ιωάννα | Διαμαντής | 52288372388 | Θανάσης | Δημητρίου | JUNIOR_ATTENDING | 1 | 
| 30871168286 | Ιωάννα | Διαμαντής | 31551628292 | Βασιλική | Νικολάου | SENIOR_ATTENDING | 2 | 
| 30871168286 | Ιωάννα | Διαμαντής | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 3 | 
| 31551628292 | Βασιλική | Νικολάου | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 1 | 
| 32379434579 | Σοφία | Παπαδόπουλου | 13706183648 | Δημήτρης | Λάσκαρης | DIRECTOR | 1 | 
| 33575450249 | Θανάσης | Διαμαντής | 80036372124 | Βασιλική | Μακρής | SENIOR_ATTENDING | 1 | 
| 33575450249 | Θανάσης | Διαμαντής | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 2 | 
| 35134846364 | Ελένη | Νικολάου | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 1 | 
| 35895166626 | Γιώργος | Δημητρίου | 91367023329 | Γιάννης | Λάσκαρης | SENIOR_ATTENDING | 1 | 
| 35895166626 | Γιώργος | Δημητρίου | 60344799227 | Σοφία | Αγγελόπουλου | DIRECTOR | 2 | 
| 37233268274 | Βασιλική | Κωστόπουλου | 90656248238 | Νίκος | Διαμαντής | SENIOR_ATTENDING | 1 | 
| 37233268274 | Βασιλική | Κωστόπουλου | 36702445480 | Μαρία | Σταματόπουλου | DIRECTOR | 2 | 
| 38538288127 | Κώστας | Ιωάννου | 35134846364 | Ελένη | Νικολάου | SENIOR_ATTENDING | 1 | 
| 38538288127 | Κώστας | Ιωάννου | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 2 | 
| 39243562439 | Δήμητρα | Γεωργίου | 30639295654 | Θανάσης | Σταματόπουλος | SENIOR_ATTENDING | 1 | 
| 39243562439 | Δήμητρα | Γεωργίου | 81344410739 | Γεωργία | Μακρής | DIRECTOR | 2 | 
| 40850595762 | Δήμητρα | Διαμαντής | 62066779638 | Παναγιώτης | Γεωργίου | SENIOR_ATTENDING | 1 | 
| 40850595762 | Δήμητρα | Διαμαντής | 81344410739 | Γεωργία | Μακρής | DIRECTOR | 2 | 
| 41069533517 | Γεωργία | Κωστόπουλου | 52288372388 | Θανάσης | Δημητρίου | JUNIOR_ATTENDING | 1 | 
| 41069533517 | Γεωργία | Κωστόπουλου | 31551628292 | Βασιλική | Νικολάου | SENIOR_ATTENDING | 2 | 
| 41069533517 | Γεωργία | Κωστόπουλου | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 3 | 
| 44869451267 | Κώστας | Νικολάου | 18193427864 | Γιώργος | Κωστόπουλος | SENIOR_ATTENDING | 1 | 
| 44869451267 | Κώστας | Νικολάου | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 2 | 
| 45979296668 | Βασίλης | Λάσκαρης | 96575194408 | Βασίλης | Παπαδάκης | SENIOR_ATTENDING | 1 | 
| 45979296668 | Βασίλης | Λάσκαρης | 31976884284 | Μιχάλης | Σταματόπουλος | DIRECTOR | 2 | 
| 46055220563 | Μαρία | Ιωάννου | 45979296668 | Βασίλης | Λάσκαρης | JUNIOR_ATTENDING | 1 | 
| 46055220563 | Μαρία | Ιωάννου | 96575194408 | Βασίλης | Παπαδάκης | SENIOR_ATTENDING | 2 | 
| 46055220563 | Μαρία | Ιωάννου | 31976884284 | Μιχάλης | Σταματόπουλος | DIRECTOR | 3 | 
| 47960718664 | Γιάννης | Γεωργίου | 19276620746 | Βασίλης | Παπαδάκης | DIRECTOR | 1 | 
| 48486875122 | Χρήστος | Παπαδόπουλος | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 1 | 
| 50922589695 | Ελένη | Παπαδάκη | 38538288127 | Κώστας | Ιωάννου | JUNIOR_ATTENDING | 1 | 
| 50922589695 | Ελένη | Παπαδάκη | 35134846364 | Ελένη | Νικολάου | SENIOR_ATTENDING | 2 | 
| 50922589695 | Ελένη | Παπαδάκη | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 3 | 
| 51734845697 | Δημήτρης | Παπαδάκης | 37233268274 | Βασιλική | Κωστόπουλου | JUNIOR_ATTENDING | 1 | 
| 51734845697 | Δημήτρης | Παπαδάκης | 90656248238 | Νίκος | Διαμαντής | SENIOR_ATTENDING | 2 | 
| 51734845697 | Δημήτρης | Παπαδάκης | 36702445480 | Μαρία | Σταματόπουλου | DIRECTOR | 3 | 
| 51927673524 | Παναγιώτης | Καραγιάννης | 80036372124 | Βασιλική | Μακρής | SENIOR_ATTENDING | 1 | 
| 51927673524 | Παναγιώτης | Καραγιάννης | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 2 | 
| 52288372388 | Θανάσης | Δημητρίου | 31551628292 | Βασιλική | Νικολάου | SENIOR_ATTENDING | 1 | 
| 52288372388 | Θανάσης | Δημητρίου | 21389790404 | Γιώργος | Δημητρίου | DIRECTOR | 2 | 
| 53262763012 | Νίκος | Παπαδόπουλος | 95448079151 | Γιώργος | Παππάς | JUNIOR_ATTENDING | 1 | 
| 53262763012 | Νίκος | Παπαδόπουλος | 77117947422 | Παναγιώτης | Παππάς | SENIOR_ATTENDING | 2 | 
| 53262763012 | Νίκος | Παπαδόπουλος | 19276620746 | Βασίλης | Παπαδάκης | DIRECTOR | 3 | 
| 53434182353 | Νίκος | Αγγελόπουλος | 18193427864 | Γιώργος | Κωστόπουλος | SENIOR_ATTENDING | 1 | 
| 53434182353 | Νίκος | Αγγελόπουλος | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 2 | 
| 53727815147 | Άννα | Λάσκαρη | 53434182353 | Νίκος | Αγγελόπουλος | JUNIOR_ATTENDING | 1 | 
| 53727815147 | Άννα | Λάσκαρη | 18193427864 | Γιώργος | Κωστόπουλος | SENIOR_ATTENDING | 2 | 
| 53727815147 | Άννα | Λάσκαρη | 33860842912 | Παναγιώτης | Αγγελόπουλος | DIRECTOR | 3 | 
| 55878996856 | Γεωργία | Παπαδόπουλου | 60552999461 | Σοφία | Μακρής | JUNIOR_ATTENDING | 1 | 
